"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
VectorGraphic,package:vector_graphics/src/vector_graphics.dart,32,2560,2560,0,12,960,960,0,20,1600,1600,0
SvgPicture,package:flutter_svg/svg.dart,32,2560,2560,0,12,960,960,0,20,1600,1600,0
Color,package:vector_graphics_compiler/src/paint.dart,139,2224,2224,0,0,0,0,0,139,2224,2224,0
RenderPictureVectorGraphic,package:vector_graphics/src/render_vector_graphic.dart,12,1344,1344,0,0,0,0,0,12,1344,1344,0
Frame,package:hive/src/binary/frame.dart,22,1056,1056,0,7,336,336,0,15,720,720,0
SvgAssetLoader,package:flutter_svg/src/loaders.dart,32,1024,1024,0,12,384,384,0,20,640,640,0
_RawPictureVectorGraphicWidget,package:vector_graphics/src/vector_graphics.dart,32,1024,1024,0,12,384,384,0,20,640,640,0
PdfTokenType,package:syncfusion_flutter_pdf/src/pdf/implementation/io/enums.dart,28,896,896,0,0,0,0,0,28,896,896,0
PropertyRule,package:firstfloor_calendar/src/semantic/calendar_parser.dart,23,736,736,0,0,0,0,0,23,736,736,0
InflaterState,package:syncfusion_flutter_pdf/src/pdf/implementation/compression/enums.dart,23,736,736,0,0,0,0,0,23,736,736,0
FieldType,package:exif/src/field_types.dart,14,672,672,0,0,0,0,0,14,672,672,0
SvgPathSegType,package:path_parsing/src/path_segment_type.dart,20,640,640,0,0,0,0,0,20,640,640,0
_VectorGraphicWidgetState,package:vector_graphics/src/vector_graphics.dart,12,576,576,0,0,0,0,0,12,576,576,0
_ExpenseEntry,package:spendant/src/screens/home_screen.dart,12,576,576,0,4,192,192,0,8,384,384,0
_AssetByteLoaderCacheKey,package:flutter_svg/src/loaders.dart,18,576,576,0,0,0,0,0,18,576,576,0
SvgCacheKey,package:flutter_svg/src/loaders.dart,18,576,576,0,0,0,0,0,18,576,576,0
Permission,package:permission_handler_platform_interface/permission_handler_platform_interface.dart,35,560,560,0,0,0,0,0,35,560,560,0
Matrix4,package:vector_math/vector_math_64.dart,33,528,528,0,2,32,32,0,31,496,496,0
BlendMode,package:vector_graphics_compiler/src/paint.dart,16,512,512,0,0,0,0,0,16,512,512,0
ExpenseModel,package:spendant/src/models/expense_model.dart,4,512,512,0,0,0,0,0,4,512,512,0
_Node,package:hive/src/util/indexable_skip_list.dart,14,448,448,0,0,0,0,0,14,448,448,0
_ExpenseListTile,package:spendant/src/screens/home_screen.dart,12,384,384,0,4,128,128,0,8,256,256,0
_CategoryBarCard,package:spendant/src/screens/home_screen.dart,12,384,384,0,4,128,128,0,8,256,256,0
_CategoryStat,package:spendant/src/screens/home_screen.dart,12,384,384,0,4,128,128,0,8,256,256,0
StorageBackendVm,package:hive/src/backend/vm/storage_backend_vm.dart,6,384,384,0,0,0,0,0,6,384,384,0
NotificationFeedType,package:spendant/src/services/notification_feed_service.dart,12,384,384,0,0,0,0,0,12,384,384,0
XmlNodeType,package:xml/src/xml/enums/node_type.dart,10,320,320,0,0,0,0,0,10,320,320,0
FontWeight,package:vector_graphics_compiler/src/paint.dart,9,288,288,0,0,0,0,0,9,288,288,0
_AmountHeadline,package:spendant/src/screens/home_screen.dart,6,288,288,0,2,96,96,0,4,192,192,0
DrawCommandType,package:vector_graphics_compiler/src/vector_instructions.dart,9,288,288,0,0,0,0,0,9,288,288,0
